,unit_sales
2013-01-01,0.0
2013-01-02,16.0
2013-01-03,5.0
2013-01-04,6.0
2013-01-05,4.0
2013-01-06,1.0
2013-01-07,4.0
2013-01-08,3.0
2013-01-09,21.0
2013-01-10,1.0
2013-01-11,9.0
2013-01-12,2.0
2013-01-13,3.0
2013-01-14,7.0
2013-01-15,1.0
2013-01-16,23.0
2013-01-17,2.0
2013-01-18,0.0
2013-01-19,4.0
2013-01-20,0.0
2013-01-21,4.0
2013-01-22,6.0
2013-01-23,18.0
2013-01-24,4.0
2013-01-25,3.0
2013-01-26,6.0
2013-01-27,2.0
2013-01-28,5.0
2013-01-29,7.0
2013-01-30,19.0
2013-01-31,8.0
2013-02-01,8.0
2013-02-02,7.0
2013-02-03,2.0
2013-02-04,8.0
2013-02-05,2.0
2013-02-06,29.0
2013-02-07,1.0
2013-02-08,3.0
2013-02-09,4.0
2013-02-10,2.0
2013-02-11,1.0
2013-02-12,2.0
2013-02-13,22.0
2013-02-14,4.0
2013-02-15,6.0
2013-02-16,2.0
2013-02-17,2.0
2013-02-18,6.0
2013-02-19,5.0
2013-02-20,32.0
2013-02-21,5.0
2013-02-22,6.0
2013-02-23,6.0
2013-02-24,2.0
2013-02-25,2.0
2013-02-26,4.0
2013-02-27,27.0
2013-02-28,5.0
2013-03-01,6.0
2013-03-02,5.0
2013-03-03,0.0
2013-03-04,6.0
2013-03-05,1.0
2013-03-06,14.0
2013-03-07,6.0
2013-03-08,3.0
2013-03-09,8.0
2013-03-10,2.0
2013-03-11,7.0
2013-03-12,5.0
2013-03-13,14.0
2013-03-14,11.0
2013-03-15,4.0
2013-03-16,2.0
2013-03-17,3.0
2013-03-18,6.0
2013-03-19,2.0
2013-03-20,24.0
2013-03-21,5.0
2013-03-22,6.0
2013-03-23,7.0
2013-03-24,0.0
2013-03-25,4.0
2013-03-26,3.0
2013-03-27,25.0
2013-03-28,7.0
2013-03-29,0.0
2013-03-30,5.0
2013-03-31,0.0
2013-04-01,4.0
2013-04-02,1.0
2013-04-03,29.0
2013-04-04,4.0
2013-04-05,3.0
2013-04-06,3.0
2013-04-07,1.0
2013-04-08,6.0
2013-04-09,3.0
2013-04-10,7.0
2013-04-11,9.0
2013-04-12,16.0
2013-04-13,5.0
2013-04-14,3.0
2013-04-15,3.0
2013-04-16,6.0
2013-04-17,28.0
2013-04-18,4.0
2013-04-19,7.0
2013-04-20,2.0
2013-04-21,4.0
2013-04-22,4.0
2013-04-23,1.0
2013-04-24,21.0
2013-04-25,3.0
2013-04-26,12.0
2013-04-27,8.0
2013-04-28,1.0
2013-04-29,3.0
2013-04-30,7.0
2013-05-01,1.0
2013-05-02,5.0
2013-05-03,6.0
2013-05-04,7.0
2013-05-05,1.0
2013-05-06,9.0
2013-05-07,3.0
2013-05-08,24.0
2013-05-09,2.0
2013-05-10,6.0
2013-05-11,4.0
2013-05-12,0.0
2013-05-13,8.0
2013-05-14,2.0
2013-05-15,27.0
2013-05-16,2.0
2013-05-17,3.0
2013-05-18,6.0
2013-05-19,2.0
2013-05-20,9.0
2013-05-21,4.0
2013-05-22,24.0
2013-05-23,8.0
2013-05-24,0.0
2013-05-25,2.0
2013-05-26,2.0
2013-05-27,1.0
2013-05-28,3.0
2013-05-29,28.0
2013-05-30,2.0
2013-05-31,3.0
2013-06-01,3.0
2013-06-02,2.0
2013-06-03,8.0
2013-06-04,3.0
2013-06-05,24.0
2013-06-06,4.0
2013-06-07,0.0
2013-06-08,5.0
2013-06-09,2.0
2013-06-10,6.0
2013-06-11,4.0
2013-06-12,19.0
2013-06-13,2.0
2013-06-14,6.0
2013-06-15,4.0
2013-06-16,0.0
2013-06-17,7.0
2013-06-18,5.0
2013-06-19,25.0
2013-06-20,2.0
2013-06-21,7.0
2013-06-22,4.0
2013-06-23,1.0
2013-06-24,5.0
2013-06-25,4.0
2013-06-26,26.0
2013-06-27,9.0
2013-06-28,0.0
2013-06-29,4.0
2013-06-30,1.0
2013-07-01,7.0
2013-07-02,3.0
2013-07-03,21.0
2013-07-04,6.0
2013-07-05,10.0
2013-07-06,4.0
2013-07-07,1.0
2013-07-08,5.0
2013-07-09,6.0
2013-07-10,19.0
2013-07-11,3.0
2013-07-12,3.0
2013-07-13,4.0
2013-07-14,0.0
2013-07-15,4.0
2013-07-16,3.0
2013-07-17,17.0
2013-07-18,4.0
2013-07-19,2.0
2013-07-20,6.0
2013-07-21,0.0
2013-07-22,13.0
2013-07-23,5.0
2013-07-24,19.0
2013-07-25,5.0
2013-07-26,4.0
2013-07-27,4.0
2013-07-28,1.0
2013-07-29,3.0
2013-07-30,6.0
2013-07-31,17.0
2013-08-01,5.0
2013-08-02,4.0
2013-08-03,2.0
2013-08-04,4.0
2013-08-05,8.0
2013-08-06,4.0
2013-08-07,9.0
2013-08-08,2.0
2013-08-09,0.0
2013-08-10,3.0
2013-08-11,0.0
2013-08-12,9.0
2013-08-13,7.0
2013-08-14,24.0
2013-08-15,3.0
2013-08-16,1.0
2013-08-17,6.0
2013-08-18,1.0
2013-08-19,0.0
2013-08-20,5.0
2013-08-21,27.0
2013-08-22,5.0
2013-08-23,3.0
2013-08-24,4.0
2013-08-25,2.0
2013-08-26,4.0
2013-08-27,6.0
2013-08-28,15.0
2013-08-29,2.0
2013-08-30,4.0
2013-08-31,2.0
2013-09-01,4.0
2013-09-02,9.0
2013-09-03,4.0
2013-09-04,25.0
2013-09-05,7.0
2013-09-06,6.0
2013-09-07,5.0
2013-09-08,0.0
2013-09-09,3.0
2013-09-10,2.0
2013-09-11,22.0
2013-09-12,4.0
2013-09-13,4.0
2013-09-14,4.0
2013-09-15,3.0
2013-09-16,3.0
2013-09-17,8.0
2013-09-18,22.0
2013-09-19,2.0
2013-09-20,8.0
2013-09-21,8.0
2013-09-22,1.0
2013-09-23,4.0
2013-09-24,3.0
2013-09-25,24.0
2013-09-26,4.0
2013-09-27,3.0
2013-09-28,7.0
2013-09-29,0.0
2013-09-30,3.0
2013-10-01,9.0
2013-10-02,17.0
2013-10-03,1.0
2013-10-04,8.0
2013-10-05,2.0
2013-10-06,2.0
2013-10-07,6.0
2013-10-08,2.0
2013-10-09,18.0
2013-10-10,7.0
2013-10-11,1.0
2013-10-12,4.0
2013-10-13,0.0
2013-10-14,5.0
2013-10-15,4.0
2013-10-16,28.0
2013-10-17,4.0
2013-10-18,7.0
2013-10-19,3.0
2013-10-20,0.0
2013-10-21,6.0
2013-10-22,1.0
2013-10-23,17.0
2013-10-24,0.0
2013-10-25,0.0
2013-10-26,0.0
2013-10-27,1.0
2013-10-28,2.0
2013-10-29,1.0
2013-10-30,17.0
2013-10-31,4.0
2013-11-01,6.0
2013-11-02,2.0
2013-11-03,2.0
2013-11-04,0.0
2013-11-05,2.0
2013-11-06,6.0
2013-11-07,2.0
2013-11-08,12.0
2013-11-09,3.0
2013-11-10,1.0
2013-11-11,6.0
2013-11-12,4.0
2013-11-13,17.0
2013-11-14,0.0
2013-11-15,0.0
2013-11-16,0.0
2013-11-17,0.0
2013-11-18,6.0
