,unit_sales
2013-01-01,0.0
2013-01-02,0.0
2013-01-03,0.0
2013-01-04,0.0
2013-01-05,0.0
2013-01-06,0.0
2013-01-07,0.0
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,0.0
2013-01-11,0.0
2013-01-12,0.0
2013-01-13,80.0
2013-01-14,37.0
2013-01-15,38.0
2013-01-16,47.0
2013-01-17,31.0
2013-01-18,32.0
2013-01-19,55.0
2013-01-20,19.0
2013-01-21,0.0
2013-01-22,0.0
2013-01-23,0.0
2013-01-24,0.0
2013-01-25,0.0
2013-01-26,0.0
2013-01-27,0.0
2013-01-28,13.0
2013-01-29,25.0
2013-01-30,30.0
2013-01-31,22.0
2013-02-01,31.0
2013-02-02,49.0
2013-02-03,50.0
2013-02-04,10.0
2013-02-05,33.0
2013-02-06,26.0
2013-02-07,10.0
2013-02-08,25.0
2013-02-09,30.0
2013-02-10,31.0
2013-02-11,30.0
2013-02-12,50.0
2013-02-13,30.0
2013-02-14,10.0
2013-02-15,29.0
2013-02-16,43.0
2013-02-17,44.0
2013-02-18,20.0
2013-02-19,30.0
2013-02-20,25.0
2013-02-21,19.0
2013-02-22,27.0
2013-02-23,27.0
2013-02-24,11.0
2013-02-25,31.0
2013-02-26,24.0
2013-02-27,26.0
2013-02-28,18.0
2013-03-01,31.0
2013-03-02,41.0
2013-03-03,63.0
2013-03-04,29.0
2013-03-05,28.0
2013-03-06,28.0
2013-03-07,26.0
2013-03-08,23.0
2013-03-09,48.0
2013-03-10,43.0
2013-03-11,39.0
2013-03-12,24.0
2013-03-13,29.0
2013-03-14,18.0
2013-03-15,24.0
2013-03-16,46.0
2013-03-17,79.0
2013-03-18,27.0
2013-03-19,24.0
2013-03-20,27.0
2013-03-21,26.0
2013-03-22,18.0
2013-03-23,48.0
2013-03-24,46.0
2013-03-25,34.0
2013-03-26,24.0
2013-03-27,22.0
2013-03-28,21.0
2013-03-29,23.0
2013-03-30,38.0
2013-03-31,53.0
2013-04-01,36.0
2013-04-02,27.0
2013-04-03,34.0
2013-04-04,28.0
2013-04-05,20.0
2013-04-06,37.0
2013-04-07,43.0
2013-04-08,33.0
2013-04-09,22.0
2013-04-10,24.0
2013-04-11,27.0
2013-04-12,17.0
2013-04-13,50.0
2013-04-14,66.0
2013-04-15,33.0
2013-04-16,34.0
2013-04-17,26.0
2013-04-18,22.0
2013-04-19,19.0
2013-04-20,46.0
2013-04-21,43.0
2013-04-22,35.0
2013-04-23,19.0
2013-04-24,27.0
2013-04-25,22.0
2013-04-26,13.0
2013-04-27,29.0
2013-04-28,66.0
2013-04-29,22.0
2013-04-30,37.0
2013-05-01,44.0
2013-05-02,16.0
2013-05-03,24.0
2013-05-04,35.0
2013-05-05,52.0
2013-05-06,24.0
2013-05-07,18.0
2013-05-08,36.0
2013-05-09,11.0
2013-05-10,23.0
2013-05-11,40.0
2013-05-12,28.0
2013-05-13,30.0
2013-05-14,20.0
2013-05-15,26.0
2013-05-16,14.0
2013-05-17,26.0
2013-05-18,52.0
2013-05-19,47.0
2013-05-20,24.0
2013-05-21,16.0
2013-05-22,30.0
2013-05-23,24.0
2013-05-24,36.0
2013-05-25,13.0
2013-05-26,34.0
2013-05-27,5.0
2013-05-28,0.0
2013-05-29,0.0
2013-05-30,15.0
2013-05-31,42.0
2013-06-01,43.0
2013-06-02,75.0
2013-06-03,33.0
2013-06-04,16.0
2013-06-05,22.0
2013-06-06,18.0
2013-06-07,20.0
2013-06-08,60.0
2013-06-09,55.0
2013-06-10,30.0
2013-06-11,19.0
2013-06-12,23.0
2013-06-13,27.0
2013-06-14,36.0
2013-06-15,31.0
2013-06-16,45.0
2013-06-17,29.0
2013-06-18,31.0
2013-06-19,21.0
2013-06-20,14.0
2013-06-21,23.0
2013-06-22,26.0
2013-06-23,24.0
2013-06-24,19.0
2013-06-25,16.0
2013-06-26,20.0
2013-06-27,25.0
2013-06-28,18.0
2013-06-29,43.0
2013-06-30,53.0
2013-07-01,35.0
2013-07-02,30.0
2013-07-03,28.0
2013-07-04,24.0
2013-07-05,32.0
2013-07-06,37.0
2013-07-07,42.0
2013-07-08,23.0
2013-07-09,30.0
2013-07-10,18.0
2013-07-11,23.0
2013-07-12,15.0
2013-07-13,22.0
2013-07-14,51.0
2013-07-15,29.0
2013-07-16,19.0
2013-07-17,34.0
2013-07-18,24.0
2013-07-19,19.0
2013-07-20,40.0
2013-07-21,38.0
2013-07-22,28.0
2013-07-23,29.0
2013-07-24,21.0
2013-07-25,20.0
2013-07-26,14.0
2013-07-27,35.0
2013-07-28,43.0
2013-07-29,27.0
2013-07-30,53.0
2013-07-31,21.0
2013-08-01,57.0
2013-08-02,29.0
2013-08-03,48.0
2013-08-04,55.0
2013-08-05,35.0
2013-08-06,27.0
2013-08-07,30.0
2013-08-08,27.0
2013-08-09,21.0
2013-08-10,43.0
2013-08-11,45.0
2013-08-12,29.0
2013-08-13,20.0
2013-08-14,29.0
2013-08-15,30.0
2013-08-16,29.0
2013-08-17,32.0
2013-08-18,44.0
2013-08-19,41.0
2013-08-20,22.0
2013-08-21,36.0
2013-08-22,24.0
2013-08-23,23.0
2013-08-24,34.0
2013-08-25,48.0
2013-08-26,44.0
2013-08-27,29.0
2013-08-28,33.0
2013-08-29,18.0
2013-08-30,16.0
2013-08-31,32.0
2013-09-01,95.0
2013-09-02,35.0
2013-09-03,33.0
2013-09-04,31.0
2013-09-05,35.0
2013-09-06,28.0
2013-09-07,64.0
2013-09-08,83.0
2013-09-09,36.0
2013-09-10,19.0
2013-09-11,42.0
2013-09-12,19.0
2013-09-13,23.0
2013-09-14,51.0
2013-09-15,89.0
2013-09-16,31.0
2013-09-17,30.0
2013-09-18,24.0
2013-09-19,26.0
2013-09-20,26.0
2013-09-21,44.0
2013-09-22,58.0
2013-09-23,41.0
2013-09-24,27.0
2013-09-25,24.0
2013-09-26,12.0
2013-09-27,16.0
2013-09-28,58.0
2013-09-29,52.0
2013-09-30,34.0
2013-10-01,45.0
2013-10-02,48.0
2013-10-03,35.0
2013-10-04,34.0
2013-10-05,37.0
2013-10-06,9.0
2013-10-07,1.0
2013-10-08,0.0
2013-10-09,0.0
2013-10-10,0.0
2013-10-11,0.0
2013-10-12,0.0
2013-10-13,0.0
2013-10-14,0.0
2013-10-15,0.0
2013-10-16,0.0
2013-10-17,0.0
2013-10-18,0.0
2013-10-19,0.0
2013-10-20,0.0
2013-10-21,0.0
2013-10-22,0.0
2013-10-23,0.0
2013-10-24,0.0
2013-10-25,0.0
2013-10-26,0.0
2013-10-27,0.0
2013-10-28,0.0
2013-10-29,0.0
2013-10-30,0.0
2013-10-31,0.0
2013-11-01,41.0
2013-11-02,65.0
2013-11-03,49.0
2013-11-04,5.0
2013-11-05,0.0
2013-11-06,0.0
2013-11-07,0.0
2013-11-08,0.0
2013-11-09,0.0
2013-11-10,0.0
2013-11-11,0.0
2013-11-12,0.0
2013-11-13,27.0
2013-11-14,19.0
2013-11-15,31.0
2013-11-16,52.0
2013-11-17,11.0
2013-11-18,0.0
2013-11-19,0.0
2013-11-20,0.0
2013-11-21,0.0
2013-11-22,14.0
2013-11-23,45.0
2013-11-24,57.0
2013-11-25,15.0
2013-11-26,16.0
2013-11-27,26.0
2013-11-28,11.0
2013-11-29,14.0
2013-11-30,0.0
2013-12-01,53.0
2013-12-02,55.0
2013-12-03,71.0
2013-12-04,24.0
2013-12-05,31.0
2013-12-06,52.0
2013-12-07,64.0
2013-12-08,56.0
2013-12-09,35.0
2013-12-10,17.0
2013-12-11,0.0
2013-12-12,0.0
2013-12-13,17.0
2013-12-14,45.0
2013-12-15,52.0
2013-12-16,45.0
