,unit_sales
2013-01-01,0.0
2013-01-02,46.0
2013-01-03,23.0
2013-01-04,24.0
2013-01-05,37.0
2013-01-06,34.0
2013-01-07,24.0
2013-01-08,14.0
2013-01-09,15.0
2013-01-10,28.0
2013-01-11,18.0
2013-01-12,17.0
2013-01-13,36.0
2013-01-14,13.0
2013-01-15,23.0
2013-01-16,24.0
2013-01-17,7.0
2013-01-18,24.0
2013-01-19,26.0
2013-01-20,31.0
2013-01-21,21.0
2013-01-22,12.0
2013-01-23,9.0
2013-01-24,7.0
2013-01-25,16.0
2013-01-26,36.0
2013-01-27,40.0
2013-01-28,16.0
2013-01-29,19.0
2013-01-30,27.0
2013-01-31,12.0
2013-02-01,13.0
2013-02-02,40.0
2013-02-03,48.0
2013-02-04,15.0
2013-02-05,12.0
2013-02-06,28.0
2013-02-07,19.0
2013-02-08,17.0
2013-02-09,23.0
2013-02-10,17.0
2013-02-11,28.0
2013-02-12,32.0
2013-02-13,26.0
2013-02-14,17.0
2013-02-15,29.0
2013-02-16,33.0
2013-02-17,19.0
2013-02-18,14.0
2013-02-19,17.0
2013-02-20,16.0
2013-02-21,20.0
2013-02-22,17.0
2013-02-23,19.0
2013-02-24,23.0
2013-02-25,19.0
2013-02-26,8.0
2013-02-27,8.0
2013-02-28,10.0
2013-03-01,24.0
2013-03-02,37.0
2013-03-03,44.0
2013-03-04,14.0
2013-03-05,8.0
2013-03-06,15.0
2013-03-07,7.0
2013-03-08,13.0
2013-03-09,27.0
2013-03-10,29.0
2013-03-11,15.0
2013-03-12,15.0
2013-03-13,15.0
2013-03-14,9.0
2013-03-15,13.0
2013-03-16,30.0
2013-03-17,17.0
2013-03-18,16.0
2013-03-19,16.0
2013-03-20,11.0
2013-03-21,14.0
2013-03-22,10.0
2013-03-23,26.0
2013-03-24,23.0
2013-03-25,17.0
2013-03-26,14.0
2013-03-27,16.0
2013-03-28,11.0
2013-03-29,17.0
2013-03-30,23.0
2013-03-31,25.0
2013-04-01,11.0
2013-04-02,17.0
2013-04-03,17.0
2013-04-04,18.0
2013-04-05,18.0
2013-04-06,25.0
2013-04-07,28.0
2013-04-08,14.0
2013-04-09,17.0
2013-04-10,14.0
2013-04-11,10.0
2013-04-12,12.0
2013-04-13,25.0
2013-04-14,29.0
2013-04-15,21.0
2013-04-16,12.0
2013-04-17,6.0
2013-04-18,11.0
2013-04-19,13.0
2013-04-20,20.0
2013-04-21,17.0
2013-04-22,13.0
2013-04-23,11.0
2013-04-24,10.0
2013-04-25,7.0
2013-04-26,16.0
2013-04-27,16.0
2013-04-28,23.0
2013-04-29,9.0
2013-04-30,3.0
2013-05-01,32.0
2013-05-02,9.0
2013-05-03,18.0
2013-05-04,22.0
2013-05-05,29.0
2013-05-06,18.0
2013-05-07,16.0
2013-05-08,16.0
2013-05-09,7.0
2013-05-10,11.0
2013-05-11,12.0
2013-05-12,10.0
2013-05-13,15.0
2013-05-14,14.0
2013-05-15,18.0
2013-05-16,11.0
2013-05-17,23.0
2013-05-18,21.0
2013-05-19,23.0
2013-05-20,24.0
2013-05-21,12.0
2013-05-22,18.0
2013-05-23,9.0
2013-05-24,31.0
2013-05-25,10.0
2013-05-26,21.0
2013-05-27,9.0
2013-05-28,6.0
2013-05-29,15.0
2013-05-30,12.0
2013-05-31,20.0
2013-06-01,29.0
2013-06-02,29.0
2013-06-03,24.0
2013-06-04,15.0
2013-06-05,22.0
2013-06-06,18.0
2013-06-07,20.0
2013-06-08,24.0
2013-06-09,36.0
2013-06-10,12.0
2013-06-11,13.0
2013-06-12,10.0
2013-06-13,6.0
2013-06-14,12.0
2013-06-15,19.0
2013-06-16,21.0
2013-06-17,18.0
2013-06-18,24.0
2013-06-19,14.0
2013-06-20,14.0
2013-06-21,8.0
2013-06-22,15.0
2013-06-23,25.0
2013-06-24,12.0
2013-06-25,9.0
2013-06-26,17.0
2013-06-27,13.0
2013-06-28,11.0
2013-06-29,25.0
2013-06-30,30.0
2013-07-01,24.0
2013-07-02,13.0
2013-07-03,22.0
2013-07-04,18.0
2013-07-05,10.0
2013-07-06,17.0
2013-07-07,37.0
2013-07-08,22.0
2013-07-09,10.0
2013-07-10,9.0
2013-07-11,12.0
2013-07-12,16.0
2013-07-13,23.0
2013-07-14,24.0
2013-07-15,9.0
2013-07-16,15.0
2013-07-17,15.0
2013-07-18,14.0
2013-07-19,18.0
2013-07-20,25.0
2013-07-21,29.0
2013-07-22,16.0
2013-07-23,10.0
2013-07-24,15.0
