,unit_sales
2013-01-01,0.0
2013-01-02,8.0
2013-01-03,2.0
2013-01-04,7.0
2013-01-05,10.0
2013-01-06,0.0
2013-01-07,2.0
2013-01-08,4.0
2013-01-09,2.0
2013-01-10,0.0
2013-01-11,9.0
2013-01-12,7.0
2013-01-13,0.0
2013-01-14,2.0
2013-01-15,4.0
2013-01-16,0.0
2013-01-17,1.0
2013-01-18,6.0
2013-01-19,12.0
2013-01-20,0.0
2013-01-21,0.0
2013-01-22,0.0
2013-01-23,4.0
2013-01-24,9.0
2013-01-25,6.0
2013-01-26,12.0
2013-01-27,0.0
2013-01-28,1.0
2013-01-29,4.0
2013-01-30,2.0
2013-01-31,0.0
2013-02-01,3.0
2013-02-02,14.0
2013-02-03,0.0
2013-02-04,1.0
2013-02-05,1.0
2013-02-06,2.0
2013-02-07,3.0
2013-02-08,5.0
2013-02-09,5.0
2013-02-10,4.0
2013-02-11,3.0
2013-02-12,2.0
2013-02-13,1.0
2013-02-14,2.0
2013-02-15,0.0
2013-02-16,0.0
2013-02-17,0.0
2013-02-18,2.0
2013-02-19,1.0
2013-02-20,4.0
2013-02-21,3.0
2013-02-22,6.0
2013-02-23,14.0
2013-02-24,0.0
2013-02-25,0.0
2013-02-26,1.0
2013-02-27,6.0
2013-02-28,3.0
2013-03-01,2.0
2013-03-02,16.0
2013-03-03,0.0
2013-03-04,6.0
2013-03-05,1.0
2013-03-06,5.0
2013-03-07,2.0
2013-03-08,8.0
2013-03-09,14.0
2013-03-10,0.0
2013-03-11,2.0
2013-03-12,1.0
2013-03-13,4.0
2013-03-14,0.0
2013-03-15,6.0
2013-03-16,10.0
2013-03-17,0.0
2013-03-18,4.0
2013-03-19,0.0
2013-03-20,2.0
2013-03-21,2.0
2013-03-22,8.0
2013-03-23,11.0
2013-03-24,0.0
2013-03-25,4.0
2013-03-26,7.0
2013-03-27,2.0
2013-03-28,10.0
2013-03-29,11.0
2013-03-30,15.0
2013-03-31,0.0
2013-04-01,6.0
2013-04-02,0.0
2013-04-03,1.0
2013-04-04,3.0
2013-04-05,13.0
2013-04-06,19.0
2013-04-07,0.0
2013-04-08,1.0
2013-04-09,6.0
2013-04-10,3.0
2013-04-11,3.0
2013-04-12,7.0
2013-04-13,13.0
2013-04-14,0.0
2013-04-15,0.0
2013-04-16,0.0
2013-04-17,2.0
2013-04-18,3.0
2013-04-19,5.0
2013-04-20,16.0
2013-04-21,0.0
2013-04-22,1.0
2013-04-23,2.0
2013-04-24,4.0
2013-04-25,0.0
2013-04-26,7.0
2013-04-27,9.0
2013-04-28,0.0
2013-04-29,1.0
2013-04-30,3.0
2013-05-01,8.0
2013-05-02,3.0
2013-05-03,2.0
2013-05-04,14.0
2013-05-05,0.0
2013-05-06,1.0
2013-05-07,2.0
2013-05-08,4.0
2013-05-09,3.0
2013-05-10,5.0
2013-05-11,19.0
2013-05-12,0.0
2013-05-13,5.0
2013-05-14,5.0
2013-05-15,3.0
2013-05-16,2.0
2013-05-17,3.0
2013-05-18,11.0
2013-05-19,0.0
2013-05-20,3.0
2013-05-21,2.0
2013-05-22,4.0
2013-05-23,9.0
2013-05-24,8.0
2013-05-25,11.0
2013-05-26,0.0
2013-05-27,3.0
2013-05-28,1.0
2013-05-29,1.0
2013-05-30,2.0
2013-05-31,4.0
2013-06-01,11.0
2013-06-02,0.0
2013-06-03,2.0
2013-06-04,1.0
2013-06-05,12.0
2013-06-06,5.0
2013-06-07,27.0
2013-06-08,13.0
2013-06-09,0.0
2013-06-10,5.0
2013-06-11,11.0
2013-06-12,3.0
2013-06-13,5.0
2013-06-14,11.0
2013-06-15,26.0
2013-06-16,0.0
2013-06-17,0.0
2013-06-18,4.0
2013-06-19,3.0
2013-06-20,4.0
2013-06-21,9.0
2013-06-22,6.0
2013-06-23,0.0
2013-06-24,2.0
2013-06-25,0.0
2013-06-26,5.0
2013-06-27,1.0
2013-06-28,7.0
2013-06-29,11.0
2013-06-30,0.0
2013-07-01,3.0
2013-07-02,3.0
2013-07-03,1.0
2013-07-04,6.0
2013-07-05,11.0
2013-07-06,8.0
2013-07-07,0.0
2013-07-08,0.0
2013-07-09,1.0
2013-07-10,0.0
2013-07-11,6.0
2013-07-12,7.0
2013-07-13,9.0
2013-07-14,0.0
2013-07-15,6.0
2013-07-16,2.0
2013-07-17,1.0
2013-07-18,4.0
2013-07-19,12.0
2013-07-20,16.0
2013-07-21,0.0
2013-07-22,3.0
2013-07-23,6.0
2013-07-24,3.0
2013-07-25,5.0
2013-07-26,6.0
2013-07-27,15.0
2013-07-28,0.0
2013-07-29,5.0
2013-07-30,1.0
2013-07-31,3.0
2013-08-01,3.0
2013-08-02,6.0
2013-08-03,11.0
2013-08-04,0.0
2013-08-05,0.0
2013-08-06,3.0
2013-08-07,4.0
2013-08-08,5.0
2013-08-09,7.0
2013-08-10,7.0
2013-08-11,0.0
2013-08-12,0.0
2013-08-13,2.0
2013-08-14,3.0
2013-08-15,1.0
2013-08-16,6.0
2013-08-17,9.0
2013-08-18,0.0
2013-08-19,2.0
2013-08-20,2.0
2013-08-21,2.0
2013-08-22,1.0
2013-08-23,9.0
2013-08-24,17.0
2013-08-25,0.0
2013-08-26,3.0
2013-08-27,2.0
2013-08-28,1.0
2013-08-29,1.0
2013-08-30,5.0
2013-08-31,15.0
2013-09-01,0.0
2013-09-02,1.0
2013-09-03,2.0
2013-09-04,3.0
2013-09-05,4.0
2013-09-06,19.0
2013-09-07,16.0
2013-09-08,0.0
2013-09-09,2.0
2013-09-10,6.0
2013-09-11,3.0
2013-09-12,2.0
2013-09-13,4.0
2013-09-14,12.0
2013-09-15,0.0
2013-09-16,1.0
2013-09-17,4.0
2013-09-18,3.0
2013-09-19,2.0
2013-09-20,6.0
2013-09-21,13.0
2013-09-22,0.0
2013-09-23,2.0
